file_name,function_code,description
stm32_file_1.c,"void assert_failed(uint8_t *file, uint32_t line)
{
}","This function, `assert_failed`, is an assertion failure handler. It does not involve hardware initialization, input/output, interrupt handling, or error management explicitly as no specific HAL or STM32 functions are called within it."
stm32_file_10.c,"int main(void)
{
  HAL_Init();
  SystemClock_Config();
  MX_GPIO_Init();
  MX_I2C1_Init();
  MX_SPI1_Init();
  MX_USB_PCD_Init();
    doSomething();
}","This C function initializes hardware components such as GPIO, I2C1, SPI1, and USB on an STM32 microcontroller by calling corresponding STM32 HAL (Hardware Abstraction Layer) functions for initialization: HAL_Init(), SystemClock_Config(), MX_GPIO_Init(), MX_I2C1_Init(), MX_SPI1_Init(), and MX_USB_PCD_Init(). The purpose is to prepare the hardware for further interaction with peripherals or user input."
stm32_file_10.c,"void SystemClock_Config(void)
{
  RCC_OscInitTypeDef RCC_OscInitStruct = {0};
  RCC_ClkInitTypeDef RCC_ClkInitStruct = {0};
  RCC_PeriphCLKInitTypeDef PeriphClkInit = {0};
  RCC_OscInitStruct.OscillatorType = RCC_OSCILLATORTYPE_HSI|RCC_OSCILLATORTYPE_HSE;
  RCC_OscInitStruct.HSEState = RCC_HSE_BYPASS;
  RCC_OscInitStruct.HSEPredivValue = RCC_HSE_PREDIV_DIV1;
  RCC_OscInitStruct.HSIState = RCC_HSI_ON;
  RCC_OscInitStruct.HSICalibrationValue = RCC_HSICALIBRATION_DEFAULT;
  RCC_OscInitStruct.PLL.PLLState = RCC_PLL_ON;
  RCC_OscInitStruct.PLL.PLLSource = RCC_PLLSOURCE_HSE;
  RCC_OscInitStruct.PLL.PLLMUL = RCC_PLL_MUL6;
  if (HAL_RCC_OscConfig(&RCC_OscInitStruct) != HAL_OK)
  {
    Error_Handler();
  }
  RCC_ClkInitStruct.ClockType = RCC_CLOCKTYPE_HCLK|RCC_CLOCKTYPE_SYSCLK
                              |RCC_CLOCKTYPE_PCLK1|RCC_CLOCKTYPE_PCLK2;
  RCC_ClkInitStruct.SYSCLKSource = RCC_SYSCLKSOURCE_PLLCLK;
  RCC_ClkInitStruct.AHBCLKDivider = RCC_SYSCLK_DIV1;
  RCC_ClkInitStruct.APB1CLKDivider = RCC_HCLK_DIV2;
  RCC_ClkInitStruct.APB2CLKDivider = RCC_HCLK_DIV1;
  if (HAL_RCC_ClockConfig(&RCC_ClkInitStruct, FLASH_LATENCY_1) != HAL_OK)
  {
    Error_Handler();
  }
  PeriphClkInit.PeriphClockSelection = RCC_PERIPHCLK_USB|RCC_PERIPHCLK_I2C1;
  PeriphClkInit.I2c1ClockSelection = RCC_I2C1CLKSOURCE_HSI;
  PeriphClkInit.USBClockSelection = RCC_USBCLKSOURCE_PLL;
  if (HAL_RCCEx_PeriphCLKConfig(&PeriphClkInit) != HAL_OK)
  {
    Error_Handler();
  }
}","This function configures the system clock by initializing the oscillator (HSI and HSE), PLL, HCLK, SYSCLK, PCLK1, PCLK2, AHBCLKDivider, APB1CLKDivider, and APB2CLKDivider using STM32 HAL functions such as `HAL_RCC_OscConfig`, `HAL_RCC_ClockConfig`, and `HAL_RCCEx_PeriphCLKConfig`. It also sets up the I2C1 and USB clocks."
stm32_file_10.c,"void Error_Handler(void)
{
  while(1)
  {
  }
}","The `Error_Handler` function appears to be a custom error management routine that enters an infinite loop upon encountering an error during hardware initialization, input/output, interrupt handling, or other system operations. It does not explicitly call any specific STM32 HAL functions in this code snippet, but it could potentially be used in conjunction with such functions as part of a larger error-handling strategy."
stm32_file_10.c,"void assert_failed(char *file, uint32_t line)
{ 
}","This function, `assert_failed`, is an error-handling mechanism that gets triggered when an assertion in the code fails. It does not directly interact with hardware initialization, input/output, interrupt handling, or specific STM32 functions like HAL_UART_Init or HAL_GPIO_WritePin, as it doesn't contain any such calls."
stm32_file_100.c,"int main(void)
{
  HAL_Init();
  SystemClock_Config();
  BSP_LED_Init(LED3);
  uwPrescalerValue = (uint32_t)((SystemCoreClock) / 25000000) - 1;
  TimHandle.Instance = TIMx;
  TimHandle.Init.Period            = 0xFFFF;
  TimHandle.Init.Prescaler         = uwPrescalerValue;
  TimHandle.Init.ClockDivision     = 0;
  TimHandle.Init.CounterMode       = TIM_COUNTERMODE_UP;
  TimHandle.Init.RepetitionCounter = 0;
  if (HAL_TIM_OnePulse_Init(&TimHandle, TIM_OPMODE_SINGLE) != HAL_OK)
  {
    Error_Handler();
  }
  sConfig.OCMode       = TIM_OCMODE_PWM2;
  sConfig.OCPolarity   = TIM_OCPOLARITY_HIGH;
  sConfig.Pulse        = 16383;
  sConfig.ICPolarity   = TIM_ICPOLARITY_RISING;
  sConfig.ICSelection  = TIM_ICSELECTION_DIRECTTI;
  sConfig.ICFilter     = 0;
  sConfig.OCNPolarity  = TIM_OCNPOLARITY_HIGH;
  sConfig.OCIdleState  = TIM_OCIDLESTATE_RESET;
  sConfig.OCNIdleState = TIM_OCNIDLESTATE_RESET;
  if (HAL_TIM_OnePulse_ConfigChannel(&TimHandle, &sConfig, TIM_CHANNEL_1, TIM_CHANNEL_2) != HAL_OK)
  {
    Error_Handler();
  }
  if (HAL_TIM_OnePulse_Start(&TimHandle, TIM_CHANNEL_1) != HAL_OK)
  {
    Error_Handler();
  }
  while (1)
  {
  }
}","This function initializes hardware components such as the clock system, LED3, a timer (TIMx), and configures two channels (TIM_CHANNEL_1, TIM_CHANNEL_2) of the timer for PWM output with a period of 0xFFFF, using the HAL library's TIM_OnePulse_Init, TIM_OnePulse_ConfigChannel, and TIM_OnePulse_Start functions. It also handles errors by calling the Error_Handler function if any initialization or configuration fails."
stm32_file_100.c,"static void Error_Handler(void)
{
  BSP_LED_On(LED3);
  while (1)
  {
  }
}","The `Error_Handler` function is designed to handle errors that occur during program execution by turning on LED3 (BSP_LED_On(LED3)) and entering an infinite loop, potentially halting the system. No specific STM32 or HAL functions are explicitly called within this code snippet."
stm32_file_100.c,"static void SystemClock_Config(void)
{
  RCC_ClkInitTypeDef RCC_ClkInitStruct;
  RCC_OscInitTypeDef RCC_OscInitStruct;
  HAL_StatusTypeDef ret = HAL_OK;
  __HAL_RCC_PWR_CLK_ENABLE();
  __HAL_PWR_VOLTAGESCALING_CONFIG(PWR_REGULATOR_VOLTAGE_SCALE1);
  RCC_OscInitStruct.OscillatorType = RCC_OSCILLATORTYPE_HSE;
  RCC_OscInitStruct.HSEState = RCC_HSE_BYPASS;
  RCC_OscInitStruct.PLL.PLLState = RCC_PLL_ON;
  RCC_OscInitStruct.PLL.PLLSource = RCC_PLLSOURCE_HSE;
  RCC_OscInitStruct.PLL.PLLM = 8;
  RCC_OscInitStruct.PLL.PLLN = 200;
  RCC_OscInitStruct.PLL.PLLP = RCC_PLLP_DIV2;
  RCC_OscInitStruct.PLL.PLLQ = 7;
  RCC_OscInitStruct.PLL.PLLR = 2;
  ret = HAL_RCC_OscConfig(&RCC_OscInitStruct);
  if(ret != HAL_OK)
  {
    while(1) { ; } 
  }
  RCC_ClkInitStruct.ClockType = (RCC_CLOCKTYPE_SYSCLK | RCC_CLOCKTYPE_HCLK | RCC_CLOCKTYPE_PCLK1 | RCC_CLOCKTYPE_PCLK2);
  RCC_ClkInitStruct.SYSCLKSource = RCC_SYSCLKSOURCE_PLLCLK;
  RCC_ClkInitStruct.AHBCLKDivider = RCC_SYSCLK_DIV1;
  RCC_ClkInitStruct.APB1CLKDivider = RCC_HCLK_DIV2;  
  RCC_ClkInitStruct.APB2CLKDivider = RCC_HCLK_DIV1;  
  ret = HAL_RCC_ClockConfig(&RCC_ClkInitStruct, FLASH_LATENCY_3);
  if(ret != HAL_OK)
  {
    while(1) { ; }  
  }
}","This function configures the system clock by initializing the High Speed External Oscillator (HSE) and setting up the PLL multiplication factor for the System Clock (SYSCLK), as well as the Advanced Clock Control (ACC6) settings using HAL_RCC_OscConfig() and HAL_RCC_ClockConfig()."
stm32_file_100.c,"void assert_failed(uint8_t *file, uint32_t line)
{
  while (1)
  {
  }
}","This function, `assert_failed`, is an assertion failure handler. It enters an infinite loop upon encountering a failed assertion, potentially halting the program execution."
stm32_file_101.c,"int main(void)
{
  HAL_Init();
  SystemClock_Config();
  BSP_LED_Init(LED1);
  BSP_LED_Init(LED2);
  BSP_PB_Init(BUTTON_WAKEUP, BUTTON_MODE_GPIO);
  CAN_Config();
  if(HAL_CAN_Receive_IT(&CanHandle, CAN_FIFO0) != HAL_OK)
  {
    Error_Handler();
  } 
	CanHandle.pTxMsg->Data[0] = ubKeyNumber;
	CanHandle.pTxMsg->Data[1] = 0xAD;
	if(HAL_CAN_Transmit(&CanHandle, 10) != HAL_OK)
	{
		Error_Handler();
	}
	HAL_Delay(10);
  while(1)
  {
  } 
}","This C function initializes hardware components such as the clock system, LEDs, button, CAN bus, and performs a delay operation. It also sends a message via the CAN bus and enters an infinite loop thereafter."
stm32_file_101.c,"static void SystemClock_Config(void)
{
  RCC_ClkInitTypeDef RCC_ClkInitStruct;
  RCC_OscInitTypeDef RCC_OscInitStruct;
  __HAL_RCC_PWR_CLK_ENABLE();
  __HAL_PWR_VOLTAGESCALING_CONFIG(PWR_REGULATOR_VOLTAGE_SCALE1);
  RCC_OscInitStruct.OscillatorType = RCC_OSCILLATORTYPE_HSE;
  RCC_OscInitStruct.HSEState = RCC_HSE_ON;
  RCC_OscInitStruct.PLL.PLLState = RCC_PLL_ON;
  RCC_OscInitStruct.PLL.PLLSource = RCC_PLLSOURCE_HSE;
  RCC_OscInitStruct.PLL.PLLM = 25;
  RCC_OscInitStruct.PLL.PLLN = 360;
  RCC_OscInitStruct.PLL.PLLP = RCC_PLLP_DIV2;
  RCC_OscInitStruct.PLL.PLLQ = 7;
  HAL_RCC_OscConfig(&RCC_OscInitStruct);
  HAL_PWREx_EnableOverDrive();
  RCC_ClkInitStruct.ClockType = (RCC_CLOCKTYPE_SYSCLK | RCC_CLOCKTYPE_HCLK | RCC_CLOCKTYPE_PCLK1 | RCC_CLOCKTYPE_PCLK2);
  RCC_ClkInitStruct.SYSCLKSource = RCC_SYSCLKSOURCE_PLLCLK;
  RCC_ClkInitStruct.AHBCLKDivider = RCC_SYSCLK_DIV1;
  RCC_ClkInitStruct.APB1CLKDivider = RCC_HCLK_DIV4;  
  RCC_ClkInitStruct.APB2CLKDivider = RCC_HCLK_DIV2;  
  HAL_RCC_ClockConfig(&RCC_ClkInitStruct, FLASH_LATENCY_5);
}","This function configures the system clock hardware for operation by initializing the HSE oscillator, enabling the PLL, setting the clock division ratios for various clock types (SYSCLK, HCLK, PCLK1, PCLK2), and configuring the voltage scaling for power regulation. Specifically called functions include HAL_RCC_OscConfig(), HAL_PWREx_EnableOverDrive(), and HAL_RCC_ClockConfig()."
stm32_file_101.c,"static void Error_Handler(void)
{
  while(1)
  {
  }
}","This function, `Error_Handler`, is an infinite loop that serves as a default error management routine when an error occurs in the hardware initialization, input/output, interrupt handling, or other system operations. It does not call any specific STM32 or HAL functions explicitly, but it typically acts as a fallback mechanism when errors are detected during the execution of those functions."
stm32_file_101.c,"static void CAN_Config(void)
{
  CAN_FilterConfTypeDef sFilterConfig;
  static CanTxMsgTypeDef TxMessage;
  static CanRxMsgTypeDef RxMessage;
  CanHandle.Instance = CAN1;
  CanHandle.pTxMsg = &TxMessage;
  CanHandle.pRxMsg = &RxMessage;
  CanHandle.Init.TTCM = DISABLE;
  CanHandle.Init.ABOM = DISABLE;
  CanHandle.Init.AWUM = DISABLE;
  CanHandle.Init.NART = DISABLE;
  CanHandle.Init.RFLM = DISABLE;
  CanHandle.Init.TXFP = DISABLE;
  CanHandle.Init.Mode = CAN_MODE_NORMAL;
  CanHandle.Init.SJW = CAN_SJW_1TQ;
  CanHandle.Init.BS1 = CAN_BS1_6TQ;
  CanHandle.Init.BS2 = CAN_BS2_8TQ;
  CanHandle.Init.Prescaler = 2;
  if(HAL_CAN_Init(&CanHandle) != HAL_OK)
  {
    Error_Handler();
  }
  sFilterConfig.FilterNumber = 0;
  sFilterConfig.FilterMode = CAN_FILTERMODE_IDMASK;
  sFilterConfig.FilterScale = CAN_FILTERSCALE_32BIT;
  sFilterConfig.FilterIdHigh = 0x0000;
  sFilterConfig.FilterIdLow = 0x0000;
  sFilterConfig.FilterMaskIdHigh = 0x0000;
  sFilterConfig.FilterMaskIdLow = 0x0000;
  sFilterConfig.FilterFIFOAssignment = 0;
  sFilterConfig.FilterActivation = ENABLE;
  sFilterConfig.BankNumber = 14;
  if(HAL_CAN_ConfigFilter(&CanHandle, &sFilterConfig) != HAL_OK)
  {
    Error_Handler();
  }
  CanHandle.pTxMsg->StdId = 0x321;
  CanHandle.pTxMsg->ExtId = 0x01;
  CanHandle.pTxMsg->RTR = CAN_RTR_DATA;
  CanHandle.pTxMsg->IDE = CAN_ID_STD;
  CanHandle.pTxMsg->DLC = 2;
}","The function `CAN_Config` initializes a CAN bus communication hardware instance (CAN1), sets up a filter for received messages, and configures a transmit message with an ID of 0x321. It uses STM32 HAL functions such as `HAL_CAN_Init()`, `HAL_CAN_ConfigFilter()`."
stm32_file_101.c,"void HAL_CAN_RxCpltCallback(CAN_HandleTypeDef* CanHandle)
{
  if ((CanHandle->pRxMsg->StdId == 0x321)&&(CanHandle->pRxMsg->IDE == CAN_ID_STD) && (CanHandle->pRxMsg->DLC == 2))
  {
    LED_Display(CanHandle->pRxMsg->Data[0]);
    ubKeyNumber = CanHandle->pRxMsg->Data[0];
  }
  if(HAL_CAN_Receive_IT(CanHandle, CAN_FIFO0) != HAL_OK)
  {
    Error_Handler();
  }
}","This function handles CAN Rx interrupts by checking if a received message matches specific criteria (Standard ID 0x321, Standard ID format, and Data Length Code 2), then calls the `LED_Display` function with the received data and stores it in `ubKeyNumber`. Additionally, it ensures proper operation of the CAN receiver using the `HAL_CAN_Receive_IT` function."
stm32_file_101.c,"void LED_Display(uint8_t LedStatus)
{
  HAL_GPIO_WritePin(GPIOG, GPIO_PIN_13, GPIO_PIN_RESET);
  HAL_GPIO_WritePin(GPIOG, GPIO_PIN_14, GPIO_PIN_RESET);
  switch(LedStatus)
  {
    case(1):
      HAL_GPIO_WritePin(GPIOG, GPIO_PIN_13, GPIO_PIN_SET);
      break;
    case(2): 
      HAL_GPIO_WritePin(GPIOG, GPIO_PIN_14, GPIO_PIN_SET);
      break;
    default:
      break;
  }
}","This function, `LED_Display`, is responsible for controlling the state of two LEDs connected to pins 13 and 14 on port G of an STM32 microcontroller. It initializes both LEDs in an off state by calling `HAL_GPIO_WritePin(GPIOG, GPIO_PIN_13/14, GPIO_PIN_RESET)`."
stm32_file_101.c,"void assert_failed(uint8_t* file, uint32_t line)
{ 
  while (1)
  {
  }
}","This function, `assert_failed`, is an error handling mechanism that enters an infinite loop upon encountering a failed assertion during hardware initialization, input/output, interrupt handling, or error management. The specific role of this function within the STM32 ecosystem is not explicitly defined by the provided code snippet; however, it can be inferred that it serves as a means to halt program execution when an expected condition is not met."
